username,Comments
raissya_ulima_l,#blokirmichat
admin.naura.ney,ngabisa nonton net tv 😮😓
faridh_iskandar,😂
septiadii95,@kemenkominfo Selamat malam Yang terhormat  bapak /ibu komenkominfoDengan sangat hormat saya meminta agar sinyal tv di gital di kota Purwakarta khususnya di kecamatan sukatani desa pasir munjul tolong di perkuat kembaliKarna kami ingin menikmati siaran tv digital tanpa harus menggunakan Parabola
dasiha1989,belom dapet stb gratia nih
frasetyo_e.r_,Yang penting cuan
aini.qurotul22,Udah gak pernah nonton tv. Yg penting ada internet
jiunk.motret,"Dulu Februari skg Oktober, kl mau bohong yg rapih lah. Nnt jangan alesan aacount ini d hack yah, masa KEMENKOMINFO di hack, sm aja kaya Romy Rafael di Hipnotis 🤣🤣🤣🤣🤣🤣🤣🤣🤣"
bigmananton135,Selebew 😂
andityoputra,"Jaktim nggak semua dpt, giliran mendung gelap signal low nonton kek robott 😂😂"
yuliaxns,udah mati kapan tauk !!!
yulimega27,"Lah sinyal tv digital aja ga semuanya ada, mau dimatiin aja, gimana sih ga ngasih solusi"
hilnapurmaini,Kalau lah kayo galo dak papo
m.n.a047,Ribet
michelleeustine,Sejak 2020 akhir udah gak pernah nonton TV
rahmanmahendra0505,"lebih baik pemerintah fokus dalam membuka lapangan kerja sebanyak banyaknya di masing masing daerah dan menjadi  perantara semua hasil bumi , karya masyarakat , memanfaatkan rupiah yg lemah untuk mencetak exportir2 dari semua kalangan masyarakat"
raff_andri,"Digaungkan terus beralih ke tv digital, agar ganti tv atau beli stb, namun nyatanya tak sesuai harapan masyarakat... 👏👏👏"
mandailing_selebgram,Besok kentut berbyar ya ges ya
vincentardi27,Jd lbh cpt matiny tuh analog
aliakhaima,Nonton pakai saluran digital layarnya memang bersih..tapi suka macet2 berasa nonton VCD yg kasetnya banyak goresan
dippoart,Untung dah smart tv net. Tp kasihan masyarakat yg blm sanggup beli tv digital STB.
hariantoo19,Cape diundur mulu
rid_one21,Pa ungkeun modal jeung meser STB na atuh...
ibnurahman7,Mana ada bantuan STB udah tersalurkan bantuan yg lain²nya aja gaada yg nyampe di cakung
mejikuviniu,Ad alasan beli tv baru 😂
c_can23,Emng masih ada yg nnton tv ?
bsd.official.kimjihoon,Buat anak kosan gimana tu dapat ga STB nya ?
kang_ternak,sinyal digital di jkt aja kurang stabil. apalagi di daerah pelosok wkkwkwkw
rendi_pangalila1234,Geus rupa rupaa wae 👏
rizka.dwifauzi,Jaringan internet di wilayah pamalayan ciamis matiii
ghilmanahmadzz,Mending pimpinan ad yg diganti
wawanher15,"Boro2 bantuan stb ..gmn judul nya di matikan siaran y ,di kira org indonesia mampu semua ,,hadeeeh"
nandariskiawan,Benerin dulu sinyalnya... suka putus2 patah2.. nonton bola ilang2 sinyalnya
fitripithut,"MNC grup sinyalnya lemah banget,, dikit2 ilang siaran digitalnya, padahal sy di kabupaten bekasi,, channel yg lain lancar,, MNC grup yg payah banget"
gamaputraae,apakah distribusi STB udh merata?
rbayy._,ges ges. game wildrift anda yang blokir bukan? @kemenkominfo
ekoalfalahp,"gak mau pindah, sebelum ada pembagian STB gratis @kemenkominfo, maklum mau beli STB masih bnyk kebutuhan"
hengkiabstract_s,"Kendak kamu tulah,yyang gk mkrin masyarakat desa"
hengkiabstract_s,"Kendak kamu tulah,yyang gk mkrin masyarakat desa"
anjanywidyast,"😂😂😂😂 gue sampe beli TV baru.. apaan ?? TV Digital kok ilang2an sinyal nya, udh pakai tambahan alat booster signal padahal modal lg 35000😂. Kelakuaaann @kemenkominfo gimana sih 🤣😂 bad bgt signal nya"
qoni1238,Tahap 3 jg blum  beralih ke digital....kpn beralih ke tv digital....
yayan_040,towernya dibangun dlu buat yg digital support dlu pondasinya . .kasian yg belum dapet sinyal analogpun burem
ahmaddhikin29,Ku punya YouTube
jacka_brunoes,Data kami gimana min?
ibadirrahman,"STBnya mana? Masuk aplikasi cek bansos aja kaga bisa-bisa, lawak mulu heran"
rchaesaalyust,Hewww sulit
sultanj_jok,Benahi dulu sistimnya.masyarakat jga ingin lebih baik
jokiwiratno,Heleh.... Ngk konsisten ASO nya dari jadwal yang sebenarnya telah beredar.
ir.wansyah7683,"jangan lh para pemimpin  mempersulit rakyat2 kecil dan rakyat2 miskin ,,wahay para prisiden dan wakil nya dan wahay para mentri2 contoh dan jalan kn seperti baginda Nabi Muhammad S.A. -"
ir.wansyah7683,jangan lh mempersulit kami rakyat2 kecil / kami masyarat2 miskin  karna Doa orang Teraniyaya Di ijabah ALLOH S.W.T
ir.wansyah7683,"jangn lh semena2 wahay para pemimpin ,, jangn lh selalu mempersulit kehidupan kami ,, BBM naik dan dapak2 bamyak ,,yg lain juga naik ,, kami buat mkn sehari2 ja susah"
ismafakhrudin,"Daerah Tanggerang kapan di bagikan set top box juga, keburu tanggal 2 november nanti."
dili_mustopa,"Chanel tv tetep masih suka ilang sendiri udah digital juga. Suka leg, gk ad sinyal,"
ismafakhrudin,"Desa pisangan jaya tanggerang, banten."
matcha_tea007,"Bodo amat ga pernah nonton tv juga, acaranya kga ada yg menarik"
dani.rahmat24,Gk nonton tv udh ada di vidio jd terserah bapak/ibu pejabat mau ngapaian aja suka2 lo deh yg penting kantong kalian penuh
amirudindesu,Nasib perumahan di jabotabek yg msh di tengah sawah kya di cikarang gigit jari. Beli stb kga dpt sinyal haha
fitriana_maryati,"mohon info ka. Ini gmn caranya bs dpt STB gratis. Soalnya di daerah rumah saya ga ada kayanya pembagian ini (jakarta selatan). Kbtulan TV di rumah saya udah ga bs nangkep chanel lagi. Ada RCTI, itu pun runyemmm..."
bang_okirubianto,"Siaran tv analog di rumah banyak sampe dai tv pun dapet, pas beli set  apa lah nama nya cuma dapet 4 terus patah"", gimana ini Hui"
fzn_ard,Emang masih ada yg nonton tv?
bagusjiwo_tyang,"Dah lama engk tergantung ama tv paling sesekali doang ,.dah sibuk pakek smartphone jadinyya"
zafincoolant,Jangan boong lgi ya
miqrom72,"Ijin bapak ibu,  apa saya saja ini yang pusing tiba ada wa atau telegram mengajak judi slot dari para bandar dan profil wanita seksi dan cantik terlalu banyak ajakan mereka, dan heran nya mereka pun tau nmor hp saya satunya lagi hadeh pusing dah kenapa banyak nmor bodong mengajak kesesatan. apa mungkin data pribadi nmor pelanggan bocor😢"
hi.dayat1643,Intinya Gak bayar ya gak bisa nonton
alvn18_,Orang tua mana ngerti teknologi
bulloh1978,Nga usah nonton tv...main hp aja😂
fadilr98,"Bodo amat..semenjak di kmpung gua bnyak yg pake parabola trus pake anten malah bnyak semut, ntah udah berapa tahun gua ga pernah nntn tv.."
bankgnashoppiccialle,Tolong jaga data kami
mfathurrizki,Jadi digital juga ga jamin tayangan bersih dan lancar. Make stb juga masih aja bermasalah....
roger_nur_hamid,Trserah...ga prnh nonton tv...isinya drama semua...trpaksa nonton tv cm nnton spongebob sama upin ipin aja
mariani.simbolon.7,Gk ada Masalah kan klo analog jg  ingin semua Bertubi tubi Migas  sembako ini lg  membuat  pusing  jdnya Ada 2 saja  alatnya mahal kah din belinya Brp harganya
tonishndr,"Saya sudah coba migrasi dari Analog ke Digital, benar benar beda jauh kualitasnya, yang di iklankan di berbagai media memang benar(bukan hoaks), kalo kualitas Analog ada ""semutnya"", kalo di Digital benar benar hilang ""semutnya"" -> jadinya Gelap Gulita tipi saya  ada tulisan ""! Tidak Ada Sinyal (sudah diaktifkan?). Akhirnya, saya kembali ke mantan(Analog). Area Kabupaten Bekasi."
_aruvian,Kerja kaga becus aja minta gaji bgst😂
1am_p0o,𝙟𝙚𝙟𝙖𝙠 𝙙𝙞𝙜𝙞𝙩𝙖𝙡 𝙙𝙞 𝙢𝙪𝙡𝙖𝙞 🐼
aswadi916,GPP kalau dimatiin juga asal di ganti in yg baru dan gratis
ridwann.w,percuma klo tontonan ga ada yg bermutu mah
baby_r3xy,min tolong blokir situs rule34.us dan manhwaland.mom di indonesia donk
